Station,Event,plon,plat,phi,dt
ZARN,20140824_232141,43.68,40.49,43.0,2.1
ZARN,20140824_232143,43.68,40.49,43.0,2.1
ZARN,20200603_073534,43.68,40.48,31.0,1.9
ZARN,20150211_185720,43.68,40.47,27.28,1.3
ZARN,20181211_022632,43.72,40.41,53.0,1.1
ZARN,20150323_045137,43.68,40.48,42.0,1.1
ZARN,20150211_185720,43.68,40.47,32.28,1.0
ZARN,20150211_185720,43.68,40.47,32.28,1.0
BCA,20120607_040504,41.43,41.4,46.61,1.9
BCA,20120908_105145,41.79,41.44,67.96,2.4
BCA,20130901_115232,41.8,41.43,75.71,2.1
BCA,20140311_220312,41.76,41.46,51.84,1.8
BCA,20150928_152805,41.51,41.43,47.78,1.7
BCA,20170827_041751,41.76,41.46,56.87,1.7
BCA,20120514_100039,41.51,41.45,52.26,1.6
BCA,20131201_012415,41.8,41.43,72.22,1.6
BCA,20140412_201438,41.73,41.46,46.56,1.4
BCA,20130717_023743,41.51,41.45,51.46,1.2
BCA,20151023_040418,41.61,41.3,33.12,1.1
BCA,20120607_160318,41.51,41.45,64.74,0.8
BCA,20130722_070141,41.61,41.3,51.71,0.6
TASB,20140629_075256,44.17,39.91,-72.72,1.9
TASB,20120514_100039,44.13,39.99,66.18,1.2
TASB,20181115_200222,44.17,39.91,83.16,1.1
TASB,20140315_235132,44.14,40.01,45.98,1.0
TASB,20140924_111613,44.14,39.97,36.0,0.8
TASB,20180907_021204,44.13,40.01,50.08,0.8
TASB,20150216_220054,44.17,39.91,88.19,0.6
TASB,20120728_200359,44.37,40.0,-40.95,0.5
TASB,20160212_100224,44.43,39.94,49.78,0.5
AKH,20161104_162043,43.3,41.37,11.65,2.0
AKH,20140316_211628,43.29,41.41,30.11,1.7
AKH,20160725_172650,43.29,41.39,45.05,1.5
AKH,20161120_205743,43.3,41.38,47.31,1.5
AKH,20170415_081943,43.29,41.4,38.13,1.5
AKH,20121114_190205,43.3,41.39,23.39,1.1
AKH,20120423_173621,43.67,41.43,55.76,0.9
AKH,20140323_182001,43.39,41.41,26.0,2.1
AKH,20140413_123619,43.6,41.42,49.29,1.4
AKH,20140316_211628,43.39,41.41,38.11,1.3
AKH,20140824_232141,43.39,41.42,47.0,1.3
AKH,20120514_100039,43.38,41.41,46.49,1.2
AKH,20140322_125957,43.39,41.41,41.0,1.2
AKH,20140824_232143,43.39,41.42,56.0,1.2
AKH,20160725_172650,43.4,41.4,29.05,1.2
AKH,20130704_171557,43.62,41.43,43.0,1.1
AKH,20140403_015829,43.39,41.41,46.61,1.1
AKH,20160804_141513,43.39,41.4,35.94,1.0
AKH,20130717_023743,43.38,41.42,56.73,1.0
AKH,20130717_023743,43.38,41.42,55.73,1.0
AKH,20160804_141513,43.39,41.4,38.94,1.0
AKH,20120417_071349,43.63,41.42,31.94,0.7
AKH,20121119_094435,43.63,41.42,58.0,0.7
ONI,20151107_070431,43.25,42.57,46.5,1.7
ONI,20140316_211628,43.24,42.59,23.79,1.5
ONI,20140924_111613,43.35,42.58,59.0,1.7
ONI,20150928_152805,43.35,42.58,50.56,1.7
ONI,20150211_185720,43.34,42.58,53.28,1.5
ONI,20150211_185720,43.34,42.58,53.28,1.5
ONI,20160804_141513,43.34,42.58,38.56,1.4
ONI,20150323_045137,43.34,42.59,56.21,1.3
ONI,20160804_141513,43.34,42.58,40.56,1.3
ONI,20160823_193944,43.64,42.56,78.66,1.3
ONI,20140316_211628,43.35,42.59,59.79,1.2
ONI,20160725_172650,43.35,42.58,33.83,1.1
ONI,20150610_135208,43.35,42.59,58.05,1.0
ONI,20140824_232141,43.34,42.6,44.0,0.9
ONI,20140824_232143,43.34,42.6,45.0,0.9
ONI,20151121_090613,43.63,42.57,62.47,0.9
TBLG,20130130_201543,44.54,41.71,57.2,1.6
TBLG,20120725_112027,44.85,41.75,28.0,1.6
TBLG,20120514_100039,44.63,41.73,40.52,1.5
TBLG,20140323_182001,44.63,41.73,26.44,1.4
TBLG,20130717_023743,44.63,41.74,22.79,1.3
TBLG,20120205_001540,44.83,41.74,17.0,1.1
TBLG,20120607_160318,44.63,41.74,65.0,1.0
TBLG,20130717_023743,44.63,41.74,37.0,0.8
TBLG,20140316_211628,44.63,41.73,46.0,0.8
ABST,20120305_074609,42.71,41.74,14.0,2.0
ABST,20110306_123158,42.7,41.76,29.66,1.7
ABST,20130222_120158,42.71,41.74,34.75,1.5
AMBR,20120528_050723,43.03,42.5,32.24,1.6
AMBR,20120514_100039,43.03,42.52,25.86,1.5
AMBR,20111122_184816,43.02,42.52,35.82,1.4
AMBR,20110902_134710,43.03,42.5,25.89,1.3
AMBR,20110109_100343,43.23,42.53,51.0,0.9
AZMN,20140401_234647,43.08,41.32,44.3,1.4
BATM,20140412_201438,41.8,41.62,42.0,2.5
DDFL,20140824_232141,46.02,41.46,54.0,1.1
DDFL,20140824_232143,46.02,41.46,53.0,1.1
DDFL,20141206_220510,46.3,41.43,67.14,0.9
DMNI,20150211_185720,43.98,41.31,20.02,1.2
DMNI,20160212_100224,44.38,41.29,46.0,1.8
DMNI,20150227_134505,44.38,41.3,60.1,1.2
DMNI,20150211_185720,44.09,41.32,44.02,1.1
DMNI,20150211_185720,44.09,41.32,42.02,1.0
TKBL,20110620_163600,42.89,42.35,30.15,1.6
TKBL,20110830_065741,43.18,42.33,64.73,1.2
TKBL,20110824_174611,42.88,42.37,66.0,0.9
TKBL,20110824_174611,42.88,42.37,60.66,0.9
TKBL,20111028_185434,42.89,42.36,71.0,0.6
TRLT,20111122_184816,43.99,41.54,25.0,1.2
TRLT,20111114_040512,44.3,41.52,30.36,1.0
URAV,20110620_163600,43.18,42.64,43.0,0.8
GANJ,20110830_065741,46.51,40.62,-24.09,0.8
GANJ,20111014_033515,46.47,40.66,-44.67,0.8
GANJ,20111128_122647,46.46,40.66,-53.48,0.8
QZX,20111117_015704,45.27,41.08,66.23,0.7
KIV,20160725_172650,42.48,43.95,38.27,0.8
KIV,20120130_051059,42.48,43.99,53.7,0.6
KIV,20190926_163618,42.5,43.91,18.12,0.3
KIV,20120607_040504,42.6,43.94,19.0,2.2
KIV,20110902_134710,42.58,43.94,15.44,1.5
KIV,20140924_111613,42.58,43.95,34.87,1.0
KIV,20181001_235942,42.88,43.92,71.03,0.9
KIV,20110306_123158,42.58,43.96,58.0,0.7
KIV,20140823_223223,42.6,43.95,47.15,0.7
KIV,20160804_141513,42.58,43.95,51.81,0.6
